Region,County,County_up
Central,Benton,BENTON
Central,Chisago,CHISAGO
Central,Isanti,ISANTI
Central,Kanabec,KANABEC
Central,Kandiyohi,KANDIYOHI
Central,McLeod,MCLEOD
Central,Meeker,MEEKER
Central,Mille Lacs,MILLE LACS
Central,Pine,PINE
Central,Renville,RENVILLE
Central,Sherburne,SHERBURNE
Central,Stearns,STEARNS
Central,Wright,WRIGHT
Northeast,Aitkin,AITKIN
Northeast,Carlton,CARLTON
Northeast,Cook,COOK
Northeast,Itasca,ITASCA
Northeast,Koochiching,KOOCHICHING
Northeast,Lake,LAKE
Northeast,St. Louis,ST. LOUIS
Northwest,Becker,BECKER
Northwest,Beltrami,BELTRAMI
Northwest,Cass,CASS
Northwest,Clay,CLAY
Northwest,Clearwater,CLEARWATER
Northwest,Crow Wing,CROW WING
Northwest,Douglas,DOUGLAS
Northwest,Grant,GRANT
Northwest,Hubbard,HUBBARD
Northwest,Kittson,KITTSON
Northwest,Lake of the Woods,LAKE OF THE WOODS
Northwest,Mahnomen,MAHNOMEN
Northwest,Marshall,MARSHALL
Northwest,Morrison,MORRISON
Northwest,Norman,NORMAN
Northwest,Otter Tail,OTTER TAIL
Northwest,Pennington,PENNINGTON
Northwest,Polk,POLK
Northwest,Pope,POPE
Northwest,Red Lake,RED LAKE
Northwest,Roseau,ROSEAU
Northwest,Stevens,STEVENS
Northwest,Todd,TODD
Northwest,Traverse,TRAVERSE
Northwest,Wadena,WADENA
Northwest,Wilkin ,WILKIN 
Southeast,Dodge,DODGE
Southeast,Fillmore,FILLMORE
Southeast,Freeborn,FREEBORN
Southeast,Goodhue,GOODHUE
Southeast,Houston,HOUSTON
Southeast,Mower,MOWER
Southeast,Olmsted,OLMSTED
Southeast,Rice,RICE
Southeast,Steele,STEELE
Southeast,Wabasha,WABASHA
Southeast,Winona,WINONA
Southwest,Big Stone,BIG STONE
Southwest,Blue Earth,BLUE EARTH
Southwest,Brown,BROWN
Southwest,Chippewa,CHIPPEWA
Southwest,Cottonwood,COTTONWOOD
Southwest,Faribault,FARIBAULT
Southwest,Jackson,JACKSON
Southwest,Lac qui Parle,LAC QUI PARLE
Southwest,Le Sueur,LE SUEUR
Southwest,Lincoln,LINCOLN
Southwest,Lyon,LYON
Southwest,Martin,MARTIN
Southwest,Murray,MURRAY
Southwest,Nicollet,NICOLLET
Southwest,Nobles,NOBLES
Southwest,Pipestone,PIPESTONE
Southwest,Redwood,REDWOOD
Southwest,Rock,ROCK
Southwest,Sibley,SIBLEY
Southwest,Swift,SWIFT
Southwest,Waseca,WASECA
Southwest,Watonwan,WATONWAN
Southwest,Yellow Medicine,YELLOW MEDICINE
Metro (7 County),Anoka,ANOKA
Metro (7 County),Carver,CARVER
Metro (7 County),Dakota,DAKOTA
Metro (7 County),Hennepin,HENNEPIN
Metro (7 County),Ramsey,RAMSEY
Metro (7 County),Scott,SCOTT
Metro (7 County),Washington,WASHINGTON
